stimType,stimID,thisRow.t,transparent,idiom,word,sentPos,readingTimes,questionCorrect,participantAnswer,trials.trialKey.rt,trials.trialKey.keys,trials.questionKey.rt,trials.questionKey.keys,trials.pauseKey.keys,trialKey.rt,trialKey.keys,questionKey.rt,questionKey.keys,practice.trialKey.rt,practice.trialKey.keys,practice.questionKey.rt,practice.questionKey.keys,pauseKey.keys,participant,notes,keyWelcome.rt,keyWelcome.keys,keyStart.rt,keyStart.keys,frameRate,expName,welcome.stopped,welcome.started,trials.trialKey.duration,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.questionKey.duration,trialText.started,trialKey.started,trialKey.duration,trial.stopped,trial.started,thisTrialN,thisRepN,thisN,start.stopped,start.started,session,questionText.started,questionKey.started,questionKey.duration,question.stopped,question.started,psychopyVersion,practice.trialKey.duration,practice.thisTrialN,practice.thisRepN,practice.thisN,practice.thisIndex,practice.questionKey.duration,pause.stopped,pause.started,meaning_literal,meaning_idiomatic,meaning_distractor,keyWelcome.started,keyWelcome.duration,keyStart.started,keyStart.duration,fixation.stopped,fixation.started,fix.stopped,fix.started,feedback.stopped,feedback.started,fb.stopped,fb.started,expStart,date,
practice_e,a,,1,Laura schopt het ver.,het,2,0.3990318001015112,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,3,0,3,,,001,,,,,,2024.2.4,,3,0,3,0,,,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,a,,1,Laura schopt het ver.,ver.,3,0.5001996000064537,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,3,0,3,,,001,,,,,,2024.2.4,,3,0,3,0,,,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
,,,,,,,,1,idiomatic,,,,,,,,,,1.9557661999715492,space,2.1282364000799134,c,,476587,,,,1.1882458000909537,space,59.83133550432233,metaphors,,,,,,,,,,,,23.11338400002569,,,,,27.49708160001319,26.277908099931665,001,23.14076500001829,23.14076500001829,,25.279960399959236,23.124627799959853,2024.2.4,None,,,,,None,,,,,,,,26.307103700004518,None,,,,,26.277832299936563,25.282464599935338,26.307103700004518,25.290351199917495,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
experimental,9,27.55605629994534,0,Sam helpt hem om zeep.,Sam,0,0.6339157000184059,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,0,0,0,8,,28.523138199932873,28.523138199932873,,,28.51122139999643,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,Sam geeft hem zeep.,Sam vermoordt hem.,Sam helpt hem met schoonmaken.,,,,,,27.55605629994534,28.511089099920355,27.536119199940003,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
experimental,9,,0,Sam helpt hem om zeep.,helpt,1,0.36571569996885955,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,0,0,0,8,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,Sam geeft hem zeep.,Sam vermoordt hem.,Sam helpt hem met schoonmaken.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
experimental,9,,0,Sam helpt hem om zeep.,hem,2,0.3836234000045806,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,0,0,0,8,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,Sam geeft hem zeep.,Sam vermoordt hem.,Sam helpt hem met schoonmaken.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
experimental,9,,0,Sam helpt hem om zeep.,om,3,0.38409609999507666,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,0,0,0,8,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,Sam geeft hem zeep.,Sam vermoordt hem.,Sam helpt hem met schoonmaken.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
experimental,9,,0,Sam helpt hem om zeep.,zeep.,4,0.44878800003789365,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,0,0,0,8,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,Sam geeft hem zeep.,Sam vermoordt hem.,Sam helpt hem met schoonmaken.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
experimental,9,,0,Sam helpt hem om zeep.,,,,1,idiomatic,2.1917523000156507,space,2.0812221000669524,a,None,2.1917523000156507,space,2.0812221000669524,a,,,,,None,476587,,,,,,59.83133550432233,metaphors,,,None,0,0,0,8,None,,,None,30.72885800001677,,0,0,0,,,001,30.756856699939817,30.756856699939817,None,32.84739010001067,30.739875599974766,2024.2.4,,,,,,,32.858419099939056,32.8583599999547,Sam geeft hem zeep.,Sam vermoordt hem.,Sam helpt hem met schoonmaken.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
filler,21,32.87283969996497,1,Thijs maakt de eerste sprong.,Thijs,0,0.5002733999863267,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,1,0,1,20,,33.873121300013736,33.873121300013736,,,33.86161389993504,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,Thijs springt als eerste.,Thijs neemt initiatief.,Thijs probeert iets nieuws.,,,,,,32.87283969996497,33.861490099923685,32.85865810001269,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
filler,21,,1,Thijs maakt de eerste sprong.,maakt,1,0.3493077999446541,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,1,0,1,20,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,Thijs springt als eerste.,Thijs neemt initiatief.,Thijs probeert iets nieuws.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
filler,21,,1,Thijs maakt de eerste sprong.,de,2,0.3829271000577137,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,1,0,1,20,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,Thijs springt als eerste.,Thijs neemt initiatief.,Thijs probeert iets nieuws.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
filler,21,,1,Thijs maakt de eerste sprong.,eerste,3,0.40005850000306964,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,1,0,1,20,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,Thijs springt als eerste.,Thijs neemt initiatief.,Thijs probeert iets nieuws.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
filler,21,,1,Thijs maakt de eerste sprong.,sprong.,4,0.41677109990268946,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,1,0,1,20,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,Thijs springt als eerste.,Thijs neemt initiatief.,Thijs probeert iets nieuws.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
filler,21,,1,Thijs maakt de eerste sprong.,,,,1,literal,2.0234074000036344,space,1.073946199961938,b,None,2.0234074000036344,space,1.073946199961938,b,,,,,None,476587,,,,,,59.83133550432233,metaphors,,,None,1,0,1,20,None,,,None,35.912480099941604,,1,0,1,,,001,35.93995209992863,35.93995209992863,None,37.02926620002836,35.92400420003105,2024.2.4,,,,,,,37.02945579995867,37.02940639993176,Thijs springt als eerste.,Thijs neemt initiatief.,Thijs probeert iets nieuws.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
filler,19,37.03984669991769,1,Klaas verraadt hem voor geen cent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,18,,38.039455399964936,38.039455399964936,,,38.02828430000227,2,0,2,,,,,,,,,,,,,,,,,,"Klaas zal hem niet verraden, ook niet voor geld.",Klaas vertrouwt hem helemaal niet.,Klaas is erg betrouwbaar.,,,,,38.039455399964936,37.03984669991769,38.02815789997112,37.02969559992198,,,,,,,
