stimType,stimID,thisRow.t,transparent,idiom,word,sentPos,readingTimes,questionCorrect,participantAnswer,trials.trialKey.rt,trials.trialKey.keys,trials.questionKey.rt,trials.questionKey.keys,trials.pauseKey.rt,trials.pauseKey.keys,trialKey.rt,trialKey.keys,questionKey.rt,questionKey.keys,practice.trialKey.rt,practice.trialKey.keys,practice.questionKey.rt,practice.questionKey.keys,pauseKey.rt,pauseKey.keys,participant,notes,keyWelcome.rt,keyWelcome.keys,keyStart.rt,keyStart.keys,keyEnd.rt,keyEnd.keys,frameRate,expName,welcome.stopped,welcome.started,trials.trialKey.duration,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.questionKey.duration,trials.pauseKey.duration,trialText.started,trialKey.started,trialKey.duration,trial.stopped,trial.started,thisTrialN,thisRepN,thisN,start.stopped,start.started,session,questionText.started,questionKey.started,questionKey.duration,question.stopped,question.started,psychopyVersion,practice.trialKey.duration,practice.thisTrialN,practice.thisRepN,practice.thisN,practice.thisIndex,practice.questionKey.duration,pauseText.started,pauseKey.started,pauseKey.duration,pause.stopped,pause.started,meaning_literal,meaning_idiomatic,meaning_distractor,keyWelcome.started,keyWelcome.duration,keyStart.started,keyStart.duration,keyEnd.started,keyEnd.duration,fixation.stopped,fixation.started,fix.stopped,fix.started,feedback.stopped,feedback.started,fb.stopped,fb.started,expStart,end.stopped,end.started,date,
practice_e,a,,1,Laura schopt het ver.,het,2,0.5345591999357566,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,3,0,3,,,001,,,,,,2024.2.4,,3,0,3,0,,,,,,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
practice_e,a,,1,Laura schopt het ver.,ver.,3,0.8824918000027537,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,,,,,,,,,,,,3,0,3,,,001,,,,,,2024.2.4,,3,0,3,0,,,,,,,Laura schopt iets ver weg.,Laura is succesvol.,Laura overtreedt een regel.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
,,,,,,,,1,idiomatic,,,,,,,,,,,2.5963874000590295,space,4.053241699934006,c,,,671836,,,,1.4150707999942824,space,,,59.58246989538451,metaphors,,,,,,,,,,,,,42.73686149995774,,,,,49.26988469995558,47.81920429994352,001,42.76397440000437,42.76397440000437,,46.820709499996156,42.74834789999295,2024.2.4,None,,,,,None,,,,,,,,,,,47.84690379991662,None,,,,,,,47.81911839998793,46.82133820001036,47.84690379991662,46.83151509996969,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
experimental,3,49.330488699954,1,Noah zet er een punt achter.,Noah,0,0.9339751999359578,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,0,0,0,2,,,50.297711699968204,50.297711699968204,,,50.28491909999866,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,,,,Noah zet een punt aan het eind van de zin.,Noah stopt ermee.,Noah let goed op de details.,,,,,,,,49.330488699954,50.28479259996675,49.308743099914864,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
experimental,3,,1,Noah zet er een punt achter.,zet,1,0.7327322999481112,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,0,0,0,2,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,,,,Noah zet een punt aan het eind van de zin.,Noah stopt ermee.,Noah let goed op de details.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
experimental,3,,1,Noah zet er een punt achter.,er,2,0.48421670007519424,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,0,0,0,2,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,,,,Noah zet een punt aan het eind van de zin.,Noah stopt ermee.,Noah let goed op de details.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
experimental,3,,1,Noah zet er een punt achter.,een,3,0.61611579998862,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,0,0,0,2,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,,,,Noah zet een punt aan het eind van de zin.,Noah stopt ermee.,Noah let goed op de details.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
experimental,3,,1,Noah zet er een punt achter.,punt,4,0.7000124999321997,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,0,0,0,2,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,,,,Noah zet een punt aan het eind van de zin.,Noah stopt ermee.,Noah let goed op de details.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
experimental,3,,1,Noah zet er een punt achter.,achter.,5,0.6329470999771729,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,0,0,0,2,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,,,,,,,,,,,Noah zet een punt aan het eind van de zin.,Noah stopt ermee.,Noah let goed op de details.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
experimental,3,,1,Noah zet er een punt achter.,,,,0,distractor,4.071827100007795,space,4.688254299922846,a,,None,4.071827100007795,space,4.688254299922846,a,,,,,,None,671836,,,,,,,,59.58246989538451,metaphors,,,None,0,0,0,2,None,,,,None,54.38676010002382,,0,0,0,,,001,54.41353299992625,54.41353299992625,None,59.11918139993213,54.398729800013825,2024.2.4,,,,,,,,,,59.12976479995996,59.129705799976364,Noah zet een punt aan het eind van de zin.,Noah stopt ermee.,Noah let goed op de details.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,17,59.14652329997625,1,Eva wordt spelend rijk.,Eva,0,0.6003558000084013,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,1,0,1,16,,,60.14749619993381,60.14749619993381,,,60.13492719992064,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,,,,Eva verdient geld door spellen te spelen.,"Eva verdient veel geld, zonder dat ze veel hoeft te doen.",Eva verdient geld met een leuke baan.,,,,,,,,59.14652329997625,60.134798699989915,59.1300135999918,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,17,,1,Eva wordt spelend rijk.,wordt,1,0.7004886000650004,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,1,0,1,16,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,,,,Eva verdient geld door spellen te spelen.,"Eva verdient veel geld, zonder dat ze veel hoeft te doen.",Eva verdient geld met een leuke baan.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,17,,1,Eva wordt spelend rijk.,spelend,2,0.4496953999623656,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,1,0,1,16,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,,,,Eva verdient geld door spellen te spelen.,"Eva verdient veel geld, zonder dat ze veel hoeft te doen.",Eva verdient geld met een leuke baan.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,17,,1,Eva wordt spelend rijk.,rijk.,3,0.6162190000759438,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,1,0,1,16,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,,,,,,,,,,,Eva verdient geld door spellen te spelen.,"Eva verdient veel geld, zonder dat ze veel hoeft te doen.",Eva verdient geld met een leuke baan.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,17,,1,Eva wordt spelend rijk.,,,,0,distractor,2.3513676000293344,space,10.201638799975626,c,,None,2.3513676000293344,space,10.201638799975626,c,,,,,,None,671836,,,,,,,,59.58246989538451,metaphors,,,None,1,0,1,16,None,,,,None,62.50353989994619,,1,0,1,,,001,62.53020229993854,62.53020229993854,None,72.73595320002642,62.517942199949175,2024.2.4,,,,,,,,,,72.73610799992457,72.7360711999936,Eva verdient geld door spellen te spelen.,"Eva verdient veel geld, zonder dat ze veel hoeft te doen.",Eva verdient geld met een leuke baan.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,28,72.74685649992898,0,Floris struikelt over zijn veters.,Floris,0,0.36620090005453676,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,2,0,2,27,,,73.74716129992157,73.74716129992157,,,73.73522339994088,2,0,2,,,001,,,,,,2024.2.4,,,,,,,,,,,,Floris valt omdat zijn veter los zitten.,Floris stottert doordat hij te snel spreekt.,Floris is erg onhandig.,,,,,,,73.74716129992157,72.74685649992898,73.73508459993172,72.73632279993035,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,28,,0,Floris struikelt over zijn veters.,struikelt,1,0.49989869992714375,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,2,0,2,27,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,,,,,,,,,,,Floris valt omdat zijn veter los zitten.,Floris stottert doordat hij te snel spreekt.,Floris is erg onhandig.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,28,,0,Floris struikelt over zijn veters.,over,2,0.4839259000727907,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,2,0,2,27,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,,,,,,,,,,,Floris valt omdat zijn veter los zitten.,Floris stottert doordat hij te snel spreekt.,Floris is erg onhandig.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,28,,0,Floris struikelt over zijn veters.,zijn,3,0.45075220009312034,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,2,0,2,27,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,,,,,,,,,,,Floris valt omdat zijn veter los zitten.,Floris stottert doordat hij te snel spreekt.,Floris is erg onhandig.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,28,,0,Floris struikelt over zijn veters.,veters.,4,0.5491032999707386,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,2,0,2,27,,,,,,,,2,0,2,,,001,,,,,,2024.2.4,,,,,,,,,,,,Floris valt omdat zijn veter los zitten.,Floris stottert doordat hij te snel spreekt.,Floris is erg onhandig.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
filler,28,,0,Floris struikelt over zijn veters.,,,,0,distractor,2.331434499938041,space,1.3994592999806628,a,,None,2.331434499938041,space,1.3994592999806628,a,,,,,,None,671836,,,,,,,,59.58246989538451,metaphors,,,None,2,0,2,27,None,,,,None,76.08663179993164,,2,0,2,,,001,76.11274269991554,76.11274269991554,None,77.51983909995761,76.09904300002381,2024.2.4,,,,,,,,,,77.51999209995847,77.5199557999149,Floris valt omdat zijn veter los zitten.,Floris stottert doordat hij te snel spreekt.,Floris is erg onhandig.,,,,,,,,,,,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
experimental,10,77.53016530000605,0,Nora loopt naast haar schoenen.,Nora,0,0.5665414000395685,,,,,,,,,,,,,,,,,,,671836,,,,,,,,59.58246989538451,metaphors,,,,3,0,3,9,,,78.53026559995487,78.53026559995487,,,78.51816670002881,3,0,3,,,001,,,,,,2024.2.4,,,,,,,,,,,,Nora loopt op haar blote voeten.,Nora gedraagt zich arrogant.,Nora doet iets wat ze eigenlijk niet kan.,,,,,,,78.53026559995487,77.53016530000605,78.51803049992304,77.52020549995359,,,,,2025-04-04 15h48.35.445944 +0200,,,2025-04-04_15h48.27.831,
